,,,,,64,168,20,21,22,504,835,786,787,5,271,8,506,509,510,513,581,582,583,369,445,225,163,164,165,
Ambu International AS,96,DNK,2021,DKK,4584,553.7542713,0,0.02,,0.02,0,97.2,2.8,55.54,0.1,137.115,0.25,1457.4,2.63,4584,57,43,,18,20,,,,,76.40369183
Ambuja Cements Ltd,15,IND,2019,INR,5068,142.8967597,14.5,0.55,1.97,17.02,0.11,92.1,7.9,19322.22,135.22,,,646,4.52,11460,1.34,98.66,,10.8,,,,,,1.749737956
Amcor plc,17,AUS,2021,USD,42938,12861,0.53,1.43,9.83,11.79,0,43,57,5485.25,0.43,1298.9,0.1,24736.62,1.92,42938,21,79,,15.4,13,,,,,12861
Amdocs Ltd,125,USA,2021,USD,30000,4300,0,0.04,0.03,0.07,0,80.6,19.4,84.48,0.02,45,0.01,,,30000,32,68,,,27,,,,,4300
Amedisys Inc,99,USA,2021,USD,21000,2200,0.01,0.01,0.03,0.05,0,,,18.12,0.01,,,,,21000,85.9,14.1,,26.3,56,,,,,2200
Ameren Corp,153,USA,2022,USD,18232,6394,25.97,0.06,13.77,39.8,0,93,7,,,,,,,18232,24,76,,8,,,,,,6394
America Movil SAB de CV L,141,USA,2021,USD,181205,41564,0.3,2.19,2.65,5.14,0,79,21,6484.59,0.16,0,0,,,181205,39,61,,11.94,21.4,,,,,41564
American Airlines Group Inc.,46,USA,2021,USD,127018,29882,0.03,0,0,0.03,0,99.7,0.3,108.89,0,1760.22,0.06,692,0.02,127018,40,60,,22.4,25,,,,,29882
American Campus Communities Inc,162,USA,2021,USD,3006,942409,0.02,0.11,0.01,0.14,0,97.22,2.78,372.45,0,,,,,3006,30,70,,,30,,,,,942409
American Electric Power,150,USA,2021,USD,16688,16790,56.4,,,56.4,0,87.58,12.42,104.33,0.01,222211.24,13.23,,,16688,20,80,,9.97,33,,,,,16790
American Express Co,113,USA,2021,USD,64000,42380,0.02,0,0,0.02,0,98.97,1.03,269.9,0.01,166.171,0,,,64000,52.9,47.1,,,39.1,,,,,42380
American Homes 4 Rent A,162,USA,2021,USD,1538,1125578,0.01,0.01,0.36,0.38,0,,,,,,,,,1538,45,55,,36.8,28,,,,,1125578
American Intl Group Inc,122,USA,2021,USD,36600,52100,0.02,0.07,0.52,0.61,0,80,20,,,,,,,36600,55,45,,,,,,,,52100
China Airlines Co,46,TWN,2020,TWD,11347,3698.29,5.25,0.02,2.82,8.09,0,100,0,23873.1,6.46,358.97,0.1,12.66,0,11390,48.33,51.67,,6.83,,,,,,118.6742021
China CITIC Bank Corp Ltd H Shares,107,CHN,2021,CNY,55419,112583936.35,0.01,0.14,,0.15,0,,,291.48,0,6974.63,0,294.27,0,55419,54.71,45.29,,5.67,25,,,,,15759449.87
China Conch Venture Holdings Ltd,30,CHN,,CNY,3941,5879.14,,,,,,,,,,1410,0.24,600000,102.06,3941,15.61,84.39,,9,,,,,,822.9596431
China Construction Bank Corp H Shares,107,CHN,2021,CNY,351252,4234381.69,0.12,1.38,,1.49,0,,,2734.98,0,58334.11,0.01,37.46,0,351252,53.96,46.04,,1.9,,,,,,592726.8858
