"id","name","created_at","updated_at"
1,"{""en"":""GRI"",""pt-PT"":""GRI"",""pt-BR"":""GRI"",""es"":""GRI"",""fr"":""GRI""}","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
2,"{""en"":""SASB"",""pt-PT"":""SASB"",""pt-BR"":""SASB"",""es"":""SASB"",""fr"":""SASB""}","2022-05-23T04:51:23.000Z","2022-05-23T04:51:23.000Z"
