"id","note","only","except","question_id","question_option_type","question_option_id","initiative_id","sdg_id","order","indicator_id","weight","children_action","comment_required","attachment_required","allow_submit","created_at","updated_at","deleted_at"
36,,,,13,"App\Models\Tenant\QuestionOptions\Simple",2,,,1,,"33.33",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
37,,,,13,"App\Models\Tenant\QuestionOptions\Simple",3,5,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
38,,,,14,"App\Models\Tenant\QuestionOptions\Simple",2,,,1,,"33.33",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
39,,,,14,"App\Models\Tenant\QuestionOptions\Simple",3,17,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
40,,,,15,"App\Models\Tenant\QuestionOptions\Simple",14,,,1,,"0.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
41,,,,15,"App\Models\Tenant\QuestionOptions\Simple",15,,,2,,"0.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
42,,,,15,"App\Models\Tenant\QuestionOptions\Simple",16,,,3,,"0.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
43,,,,15,"App\Models\Tenant\QuestionOptions\Simple",17,,,4,,"0.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
44,,,,15,"App\Models\Tenant\QuestionOptions\Simple",18,,,5,,"0.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
45,,,,15,"App\Models\Tenant\QuestionOptions\Simple",19,,,6,,"0.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
46,,,,15,"App\Models\Tenant\QuestionOptions\Simple",8,,,7,,"0.00","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
47,,,,17,"App\Models\Tenant\QuestionOptions\Simple",21,,,1,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
48,,,,17,"App\Models\Tenant\QuestionOptions\Simple",22,,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
