"id","questionnaire_type_id","category_id","deleted_at","created_at","updated_at"
65,5,62,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
66,5,63,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
67,5,64,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
68,5,65,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
69,5,66,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
70,5,67,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
71,5,68,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
72,5,69,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
73,5,70,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
74,5,71,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
75,5,72,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
76,5,73,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
77,5,74,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
78,5,75,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
79,5,76,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
80,5,77,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
81,5,78,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
82,5,79,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
83,5,80,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
84,5,81,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
85,5,82,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
86,5,83,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
87,5,84,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
88,5,85,,"2023-04-18T22:28:11.000Z","2023-04-18T22:28:11.000Z"
